CR0312N2,#genre#
寰宇新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw
东森财经新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dscjxw
TVBS新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs
三立新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxw
中视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=zsxw
台视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw
民视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw
东森新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw
中天新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民视影剧,http://seb.sason.top/ptv/ftv.php?id=yj
民视综艺,http://seb.sason.top/ptv/ftv.php?id=zy
民视旅游,http://seb.sason.top/ptv/ftv.php?id=ly
中天新闻 HD,http://seb.sason.top/sc/ztxw_fhd.m3u8
东森新闻 HD,http://seb.sason.top/sc/dsxw_fhd.m3u8
东森财经新闻 HD,http://seb.sason.top/sc/dscjxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立台湾,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333290/index.m3u8
三立都会,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333300/index.m3u8
衛視中文台,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333660/index.m3u8
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
原住民頻道,https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=https%3A%2F%2Fwww.ipcf.org.tw%2F
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
東森戲劇台,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333540/index.m3u8
中天娛樂,http://60.250.91.85:8585/.m3u8
三立Live新聞,http://xztv.putids.com:80/user/dl/llllwww.php?id=48
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/playlist.m3u8
非凡新聞台,http://125.227.210.37:15078/VideoInput/play.ts
中台湾生活网,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
智林体育台,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
中台湾生活网,http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8
