酷貓0818,#genre#
寰宇新聞,http://61.219.170.95:18569/.m3u8#http://59.125.122.90:18569/.m3u8
寰宇新聞,http://59.125.122.90:18569/http/192.168.1.9:8081/hls/76/818/ch62.m3u8
寰宇新聞,http://59.125.122.90:18569/http/192.168.1.9:8081/hls/76/818/ch62.m3u8
東森新聞,http://61.219.170.95:18512/.m3u8#http://59.125.122.90:18512/.m3u8
東森新聞,http://59.125.122.90:18512/http/192.168.1.9:8081/hls/63/805/ch10.m3u8
東森財經新聞,rtmp://59.124.75.150/sat/tv571#rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.150/sat/tv571#rtmp://59.124.75.150/sat/tv571#http://60.251.33.252:18515/.m3u8
TVBS新聞,rtmp://59.124.75.138:1935/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551
TVBS新聞,rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,rtmp://59.124.75.138:1935/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8#rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551#rtmp://59.124.75.150/sat/tv551#rtmp://59.124.75.138/sat/tv551#rtmp://59.124.75.138:1935/sat/tv551
中天新聞,http://59.125.122.90:18513/http/192.168.1.9:8081/hls/78/80/ch63max.m3u8
中天新聞,http://61.219.170.95:18513/.m3u8#http://59.125.122.90:18513/.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,http://59.125.122.90:18563/http/192.168.1.9:8081/hls/73/815/ch51.m3u8
民視新聞,http://61.219.170.95:18563/.m3u8#http://59.125.122.90:18563/.m3u8#http://60.251.33.252:18563/.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
中視,rtmp://59.124.75.138:1935/sat/tv091#rtmp://59.124.75.150/sat/tv091#rtmp://59.124.75.138/sat/tv091#rtmp://59.124.75.138:1935/sat/tv091#rtmp://59.124.75.138/sat/tv091#rtmp://59.124.75.150/sat/tv091#rtmp://59.124.75.138:1935/sat/tv091#rtmp://59.124.75.150/sat/tv091#rtmp://59.124.75.138/sat/tv091#rtmp://59.124.75.138:1935/sat/tv091
中視,rtmp://59.124.75.138/sat/tv091#rtmp://59.124.75.150/sat/tv091#rtmp://59.124.75.138:1935/sat/tv091#rtmp://59.124.75.150/sat/tv091#rtmp://59.124.75.138/sat/tv091#rtmp://59.124.75.138:1935/sat/tv091
華視,rtmp://59.124.75.138:1935/sat/tv111#rtmp://59.124.75.138/sat/tv111#rtmp://59.124.75.150/sat/tv111#rtmp://59.124.75.138:1935/sat/tv111#rtmp://59.124.75.138/sat/tv111#rtmp://59.124.75.150/sat/tv111#rtmp://59.124.75.138:1935/sat/tv111#rtmp://59.124.75.138/sat/tv111#rtmp://59.124.75.150/sat/tv111#rtmp://59.124.75.138:1935/sat/tv111
華視,rtmp://59.124.75.138/sat/tv111#rtmp://59.124.75.150/sat/tv111#rtmp://59.124.75.138:1935/sat/tv111#rtmp://59.124.75.138/sat/tv111#rtmp://59.124.75.150/sat/tv111#rtmp://59.124.75.138:1935/sat/tv111
台視,rtmp://59.124.75.138:1935/sat/tv071#rtmp://59.124.75.150/sat/tv071#rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.138:1935/sat/tv071#rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.150/sat/tv071#rtmp://59.124.75.138:1935/sat/tv071#rtmp://59.124.75.150/sat/tv071#rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.138:1935/sat/tv071
