彎彎晴天斷流,#genre#
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
東森財經新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV46.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV46.m3u8
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
三立新聞台(B),P2p://generationnexxxt.com:19806/96118abbe8ee48ddaef2c9c1cea1af04#P2p://generationnexxxt.com:19806/96118abbe8ee48ddaef2c9c1cea1af04
年代新聞(B),P2p://generationnexxxt.com:19806/65fa6ea5000ec21a2a83897e03cd44bb#P2p://generationnexxxt.com:19806/65fa6ea5000ec21a2a83897e03cd44bb
非凡新聞台(B),P2p://generationnexxxt.com:19806/65fa6fc4000df93d2a87ea67255a50ce
TVBS新聞台(B),P2p://generationnexxxt.com:19806/65fa6dc600095b662a8020fe14c65804#P2p://generationnexxxt.com:19806/65fa6dc600095b662a8020fe14c65804
TVBS-Asia,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
東森新聞台(B),P2p://generationnexxxt.com:19806/7bbf7bf4cb8f4a58893f6b5017a9fe05#P2p://generationnexxxt.com:19806/7bbf7bf4cb8f4a58893f6b5017a9fe05
東森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
https://s2.pub/cctv-23
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視,P2p://generationnexxxt.com:19806/7b662823ed634f1fad66ab442b177118
民視,rtmp://f13h.mine.nu/sat/tv051
民視,rtmp://220.130.201.73/sat/tv051#rtmp://f13h.mine.nu/sat/tv051
華視,rtmp://f13h.mine.nu/sat/tv111
華視,rtmp://220.130.201.73/sat/tv111#rtmp://f13h.mine.nu/sat/tv111
台視,rtmp://220.130.201.73/sat/tv071#rtmp://f13h.mine.nu/sat/tv071
台視,P2p://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
台視,rtmp://f13h.mine.nu/sat/tv071
中視,P2p://generationnexxxt.com:19806/27826c4ed7234c0d8759bc7fe6786a18
中視,rtmp://220.130.201.73/sat/tv091#rtmp://f13h.mine.nu/sat/tv091
中視,rtmp://f13h.mine.nu/sat/tv091
HGTV居家樂活頻道,P2p://generationnexxxt.com:19806/84613e96237545769558cc572e6d1ab0#P2p://generationnexxxt.com:19806/84613e96237545769558cc572e6d1ab0
中視經典台,P2p://generationnexxxt.com:19806/8b9e15ff15474ccbbc2780c1484e50c9
ETtoday綜合台,P2p://generationnexxxt.com:19806/8e1b32241c9d4d079a2df7dc99adb312
TLC旅遊生活,P2p://generationnexxxt.com:19806/621ca70412034f5eb919c1ec03679804#P2p://generationnexxxt.com:19806/621ca70412034f5eb919c1ec03679804
NHK新聞資訊台,P2p://generationnexxxt.com:19806/c2da55d84a72418c8f1876c25ec97a1d#P2p://generationnexxxt.com:19806/c2da55d84a72418c8f1876c25ec97a1d
八大優頻道(B),P2p://generationnexxxt.com:19806/e1b81f9f50644fd38273333129365a4c
民視第一台(B),P2p://generationnexxxt.com:19806/1c48731982a54a59a9555f7247f3bf7f
東森戲劇台(B),P2p://generationnexxxt.com:19806/8e23c200926a4eaaa00043b39dca9075#P2p://generationnexxxt.com:19806/8e23c200926a4eaaa00043b39dca9075
歷史頻道(B),P2p://generationnexxxt.com:19806/63e740392c4641cc9dab02d98b74782f#P2p://generationnexxxt.com:19806/63e740392c4641cc9dab02d98b74782f
尼克兒童頻道,P2p://generationnexxxt.com:19806/879f28be19bc47df84ad3d5470be58d0
Nick Jr.,P2p://generationnexxxt.com:19806/acebbded37714fa4a5554c025873a92c
Boomerang(B),P2p://generationnexxxt.com:19806/45f849d284af44fb80815dc8faa555d0
Animax(B),P2p://generationnexxxt.com:19806/9a6969de27b145dc972e19d71c1a8932
緯來電影台(B),P2p://generationnexxxt.com:19806/7ab30b79b011427287733d8ba51333e8
CINEMAX(B),P2p://generationnexxxt.com:19806/adf42efd52864d6e9454132f0d849fb7
CinemaWorld(B),P2p://generationnexxxt.com:19806/c6efdcd038204b4781cafc2273b4adb3
CHC高清電影(B),P2p://generationnexxxt.com:19806/bc7bf77f1cb5401389500427f060caa1
CHC家庭影院(B),P2p://generationnexxxt.com:19806/53491943aa934355b381bc8684bc4fc2
CHC動作電影(B),P2p://generationnexxxt.com:19806/ab40a3bbbef244a1b4c8c0f841f0561f
美亞電視C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
緯來體育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130#rtmp://220.130.201.73/sat/tv721#rtmp://f13h.mine.nu/sat/tv721#http://cloud.yumixiu768.com/tmp/123.m3u8
TAIWANPlus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
東森超視,http://38.64.72.148/hls/modn/list/2013/chunklist1.m3u8#rtmp://220.130.201.73/sat/tv331#rtmp://f13h.mine.nu/sat/tv331
東森衛視,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
緯來體育,rtmp://220.130.201.73/sat/tv721
緯來育樂,rtmp://220.130.201.73/sat/tv701#rtmp://f13h.mine.nu/sat/tv701
緯來日本,rtmp://220.130.201.73/sat/tv771#rtmp://f13h.mine.nu/sat/tv771
東森超視,rtmp://220.130.201.73/sat/tv331
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來日本,rtmp://f13h.mine.nu/sat/tv771
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMo綜合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN體育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN體育2,rtmp://f13h.mine.nu/sat/tv741
緯來體育,http://cloud.yumixiu768.com/tmp/123.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8

