🔞台货,#genre#
☆三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
☆AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
☆中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
☆纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
☆49号,http://61.221.215.25:8800/hls/49/index.m3u8
☆探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
☆NHK世界,http://61.221.215.25:8800/hls/51/index.m3u8
☆八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
☆八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
☆动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
☆LISTEN,http://61.221.215.25:8800/hls/58/index.m3u8 
☆DW,http://61.221.215.25:8800/hls/1/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8 
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8 
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
Z香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
Z香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
☞凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
☞凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
☞TVB翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
☞TVB翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
☞无线翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
☞无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
☞TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
☞VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
☞VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
☞Viu剧集台,http://php.jdshipin.com/TVOD/iptv.php?id=viujj
☞Now星影台,http://php.jdshipin.com/TVOD/iptv.php?id=xyt
☞HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
☞千禧经典台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
☞Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
☞美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
☞重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
☞Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
☞动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
☞家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
☞高清电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
☞翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1920x1080 
☞凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
☞TVB星河2,http://php.jdshipin.com:8880/smt.php?id=Xinhe
☞TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
☞千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
☞无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
☞无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
☞无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
☞澳门莲花,http://php.jdshipin.com/amlh.php
%星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
%凤凰中文,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu001-golive.flv
%凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv
%凤凰资讯,http://udnhls.skilldns.com:80/fhzx-cn.m3u8
C无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
C无线翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
C无线翡翠,http://cdn2.1689.us.kg/live/?id=gdfct
V无线华丽频粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
V无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
V无线生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist_w102.m3u8
V无线星河频粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
大爱一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
唯心电视 ,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
大立,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8


🔞松外,#genre#
松视2欧美版,http://live.redtraffic.xyz:80/interracial.m3u8 
松视3欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8 
松视4欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8 
潘多拉欧美版,http://live.redtraffic.xyz:80/pornstar.m3u8 
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8 
K频道欧美版,http://live.redtraffic.xyz:80/threesome.m3u8 
惊艳台欧美版,http://live.redtraffic.xyz:80/cuckold.m3u8 
HOT欧美版,http://live.redtraffic.xyz:80/hardcore.m3u8 
粉红台欧美版,http://live.redtraffic.xyz:80/teen.m3u8 
二本道欧美版,http://live.redtraffic.xyz:80/blowjob.m3u8
livecams,http://cdn.adultiptv.net/livecams.m3u8 
MILF,http://cdn.adultiptv.net/milf.m3u8 
Big Dick,http://cdn.adultiptv.net/bigdick.m3u8 
Big Tits,http://cdn.adultiptv.net/bigtits.m3u8 
Fetish,http://cdn.adultiptv.net/fetish.m3u8 
Pornstar,http://cdn.adultiptv.net/pornstar.m3u8 
Big Ass,http://cdn.adultiptv.net/bigass.m3u8 
Interracial http://cdn.adultiptv.net/interracial.m3u8 
Latina,http://cdn.adultiptv.net/latina.m3u8 
POV,http://cdn.adultiptv.net/pov.m3u8 
Blowjob,http://cdn.adultiptv.net/blowjob.m3u8 
Teen,http://cdn.adultiptv.net/teen.m3u8
Hardcore,http://cdn.adultiptv.net/hardcore.m3u8 
Cuckold,http://cdn.adultiptv.net/cuckold.m3u8 
Threesome,http://cdn.adultiptv.net/threesome.m3u8 
Russian,http://cdn.adultiptv.net/russian.m3u8 
Lesbian,http://cdn.adultiptv.net/lesbian.m3u8 
Rough,http://cdn.adultiptv.net/rough.m3u8 
Gangbang,http://cdn.adultiptv.net/gangbang.m3u8
Analvhttp://cdn.adultiptv.net/anal.m3u8 
Compilation,http://cdn.adultiptv.net/compilation.m3u8 

🔞源码,#genre#
♨️美女热舞,https://v2024.sysybf.com/20241223/iQDuCKCu/index.m3u8?_refluxos=a10
✨美女热舞,https://v2024.sysybf.com/20241223/NMuNCNQc/index.m3u8?_refluxos=a10
dj留什么给你,https://play.xm.68tool.com/video/m3u8/2023/03/25/86cb342d/playlist.m3u8?_refluxos=a10
dj漫漫长路,https://play.xm.68tool.com/video/m3u8/2023/03/25/c388c842/playlist.m3u8?_refluxos=a10
💫热舞,https://txmov2.a.kwimgs.com/upic/2024/08/04/22/BMjAyNDA4MDQyMjU4NThfNDk2OTQ4NjMzXzEzOTgwMDc4MjQ0N18xXzM=_b_Bb24ec0d0162a641ca90abf92660c8007.mp4?tag=1-1723453037-std-1-ah23c2bepw-207c5e3eb7b93dd7&clientCacheKey=3ximyzwa23x6zic_b.mp4&tt=b&di=31e8080c&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🌸热舞,https://txmov2.a.kwimgs.com/upic/2024/06/25/23/BMjAyNDA2MjUyMzIxNDNfMTUyNzQ1MzgzMV8xMzU5NDcxNTMzMjVfMl8z_b_B6e0cf9ac9a1a0fac9ce89d6efb600025.mp4?tag=1-1727003502-unknown-0-ldxhvqqxhl-e34de9ceee9a5cdc&clientCacheKey=3xw4xgiwurmma64_b.mp4&bp=10000&tt=b&ss=vp
♨️热舞,https://txmov2.a.kwimgs.com/upic/2024/06/28/00/BMjAyNDA2MjgwMDMwMTlfMTUyNzQ1MzgzMV8xMzYxMTEzMDkxMTRfMl8z_b_Bd09f1e6a07b5cf1386281cebd3d839b3.mp4?tag=1-1727003445-unknown-0-yyiusflovn-15986110025e5190&clientCacheKey=3xi4jr592aeag6u_b.mp4&bp=10000&tt=b&ss=vp
💃热歌,https://txmov2.a.kwimgs.com/upic/2023/06/01/17/BMjAyMzA2MDExNzUxMjdfMjM0Mjg1Nzg4Ml8xMDQ0ODg1Njc5MTdfMV8z_b_B652ccbfc17beaebc0596ec754a981a84.mp4?tag=1-1701951044-std-1-kiinpjcas0-75b00c03092c5660&clientCacheKey=3xt2hss8pf3dbq4_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🎸热舞,https://txmov2.a.kwimgs.com/upic/2024/07/17/22/BMjAyNDA3MTcyMjU4MTBfNDk2OTQ4NjMzXzEzODAyMDc2NzYxOF8xXzM=_b_B4818f7d884ff6b3a4ebba276d8c4c884.mp4?tag=1-1723453273-std-1-nd0avnoxyb-c2f261e72903062f&clientCacheKey=3xnv9tdqhnsh8wu_b.mp4&tt=b&di=31e8080c&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
💃热舞,https://txmov2.a.kwimgs.com/upic/2024/06/01/21/BMjAyNDA2MDEyMTU4MDJfMTUyNzQ1MzgzMV8xMzM4NzQxMzM5MjRfMl8z_b_B0a3848ae43af7cafd3803bd555f94108.mp4?tag=1-1727003749-unknown-0-pynsj8xbsh-2f6495f174e1ec2b&clientCacheKey=3x6aiezdz2ju7ze_b.mp4&bp=10000&tt=b&ss=vp
✨热舞,https://txmov2.a.kwimgs.com/upic/2024/03/18/23/BMjAyNDAzMTgyMzE5NTZfMTUyNzQ1MzgzMV8xMjc2NTgxOTE5NTRfMl8z_b_B5b513b466b751c323a77d41f82888f18.mp4?tag=1-1727005342-unknown-0-mdbywdbfwb-e68037b5ad4aa189&clientCacheKey=3xgy6mriuuainvy_b.mp4&bp=10000&tt=b&ss=vp
💎热舞,https://txmov2.a.kwimgs.com/upic/2024/03/28/17/BMjAyNDAzMjgxNzI0NTVfMTUyNzQ1MzgzMV8xMjgzOTI0MjI2MjVfMl8z_b_B0849d1f51593d07381fd5dd18df7d46c.mp4?tag=1-1727005008-unknown-0-jjocipm5bp-6062bc71c6788fcd&clientCacheKey=3xd4huar5ihaeqm_b.mp4&bp=10000&tt=b&ss=vp
💃泳装美人,https://txmov2.a.kwimgs.com/upic/2024/07/27/18/BMjAyNDA3MjcxODUyNDZfNTQzMjExOTUyXzEzODk4MDU4NTg3MV8yXzM=_b_B529c4ac9ddd03933203ec21eba088c0b.mp4?tag=1-1726993602-unknown-0-ld5doflkgi-c29f0712ccfc7341&clientCacheKey=3xhqxkrawerk3w4_b.mp4&bp=10000&tt=b&ss=vp
