TVpro230218,#genre#
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8#https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
壹新聞 HD,http://60.251.59.180:8501/.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8#https://ytm2.yuanhsing.cf/mnews.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
東森新聞 HD,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/4_2213132.m3u8#http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8#http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森財經 HD,http://123.51.229.65:18515/.m3u8#https://ytm2.yuanhsing.cf/EBCFinancial.m3u8#https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
三立新聞 LIVE,http://60.251.59.180:8506/ch18.m3u8
三立NEWS+,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立iNEWS,https://ytm2.yuanhsing.cf/setmoney159.m3u8#https://ytm2.yuanhsing.cf/setmoney159.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://ytm2.yuanhsing.cf/FTVCP.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#https://ytm2.yuanhsing.cf/FTVCP.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#https://ytm2.yuanhsing.cf/ttvnewsview.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#https://ytm2.yuanhsing.cf/ttvnewsview.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
中視新聞 HD,https://ytm2.yuanhsing.cf/twctvnews.m3u8#https://ytm2.yuanhsing.cf/twctvnews.m3u8
華視新聞資訊 HD,http://stream.dsichannel.com:80/hls/cts-news.m3u8#http://stream.dsichannel.com/hls/cts-news.m3u8#http://stream.dsichannel.com:80/hls/cts-news.m3u8#http://stream.dsichannel.com/hls/cts-news.m3u8

民視 HD,http://23.237.10.66:16334#http://107.151.203.111:2209/135/us50.php?id=msk#http://107.151.203.111:2209/135/us50.php?id=msk
台視 HD,http://23.237.10.66:16344#http://123.51.229.65:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8#http://123.51.229.65:18543/.m3u8#http://107.151.203.111:2209/135/us50.php?id=tsk#http://123.51.229.65:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8#http://123.51.229.65:18543/.m3u8#http://107.151.203.111:2209/135/us50.php?id=tsk
